sec_code,edinet_code
46340,E00903
46350,E00904
46330,E00905
41200,E00906
46230,E00909
46240,E00910
46250,E00911
79530,E00912
46260,E00913
46270,E00915
46280,E00916
46290,E00917
45020,E00919
45030,E00920
45060,E00922
45070,E00923
88410,E00926
45120,E00928
45160,E00931
45190,E00932
45210,E00935
49970,E00937
45230,E00939
45240,E00941
45270,E00942
45300,E00944
45280,E00945
45340,E00947
45590,E00948
45360,E00949
45260,E00952
45380,E00953
45390,E00957
45490,E00961
45470,E00962
45440,E00967
45480,E00970
45520,E00973
45530,E00974
45540,E00975
45560,E00977
45650,E00981
45680,E00984
45690,E00985
45700,E00986
45720,E00987
49010,E00988
49020,E00989
49110,E00990
49120,E00991
49140,E00993
35530,E00994
79710,E00995
35510,E00996
42180,E01000
49920,E01001
42080,E01002
50100,E01005
43610,E01006
49980,E01007
42120,E01008
49950,E01009
43660,E01014
49850,E01015
45400,E01018
49510,E01019
44100,E01020
42310,E01024
49170,E01027
41070,E01028
79280,E01031
79270,E01032
49580,E01034
49180,E01035
49190,E01039
49200,E01040
49660,E01045
49670,E01047
49680,E01048
49220,E01049
49700,E01051
42340,E01052
78560,E01053
49710,E01054
49720,E01055
43680,E01056
44640,E01057
49940,E01058
49230,E01059
49730,E01060
42350,E01061
49250,E01063
29270,E01064
49750,E01065
42410,E01066
49760,E01068
81310,E01074
81320,E01075
50110,E01077
50130,E01080
50160,E01081
50180,E01083
50190,E01084
51010,E01085
51080,E01086
51030,E01088
51050,E01090
51950,E01092
51210,E01094
51940,E01095
51420,E01096
51920,E01098
51220,E01100
42240,E01103
51890,E01107
72820,E01108
51990,E01109
51100,E01110
51860,E01111
51610,E01112
51850,E01113
51840,E01114
51620,E01115
79380,E01118
79320,E01120
52020,E01121
52010,E01122
52040,E01123
77410,E01124
52100,E01126
52320,E01127
52330,E01130
53550,E01131
53430,E01135
53340,E01136
53330,E01137
53320,E01138
53310,E01139
53020,E01140
53370,E01141
52690,E01142
52680,E01143
53510,E01146
53570,E01147
53630,E01149
53930,E01151
52080,E01152
52610,E01156
52620,E01157
18710,E01161
53010,E01162
53910,E01163
79950,E01164
52710,E01165
52370,E01166
52730,E01169
52180,E01170
49900,E01172
53040,E01173
53410,E01176
53420,E01177
53560,E01180
69710,E01182
79790,E01183
53670,E01188
52140,E01190
53880,E01195
52790,E01200
52800,E01202
53860,E01204
52160,E01205
52820,E01206
53840,E01207
52830,E01208
53440,E01210
52840,E01211
52850,E01212
52870,E01216
53810,E01218
53800,E01219
77460,E01221
52880,E01222
53100,E01223
54010,E01225
54080,E01229
72310,E01230
54060,E01231
56310,E01232
56320,E01233
54820,E01234
54100,E01235
56090,E01236
54710,E01239
54800,E01242
54840,E01245
54510,E01247
54610,E01251
54630,E01253
55410,E01254
55630,E01256
55420,E01257
54440,E01259
54460,E01260
54230,E01261
54490,E01262
54110,E01264
54400,E01266
63260,E01267
56020,E01268
56030,E01269
54580,E01275
54910,E01276
64390,E01277
56590,E01280
56600,E01282
56120,E01283
56070,E01284
56580,E01287
54450,E01292
56950,E01294
56970,E01296
34230,E01298
57210,E01300
57270,E01301
58520,E01303
57530,E01305
57070,E01308
54640,E01315
59380,E01317
57020,E01318
59280,E01320
57570,E01321
74140,E01324
59000,E01325
57260,E01327
58560,E01329
57410,E01330
57420,E01331
58010,E01332
58020,E01333
58030,E01334
58050,E01336
58170,E01348
58190,E01350
58200,E01351
58210,E01352
59010,E01353
59020,E01354
59110,E01355
59150,E01362
59180,E01364
59220,E01365
59740,E01366
59910,E01367
59520,E01368
59550,E01369
59420,E01370
63060,E01372
59230,E01373
61360,E01377
59810,E01378
58510,E01379
59670,E01380
59210,E01381
59750,E01382
59290,E01385
59620,E01391
59980,E01393
19210,E01394
59940,E01396
99300,E01398
59760,E01400
59850,E01402
59690,E01403
59920,E01405
59050,E01408
59580,E01409
59860,E01411
59590,E01412
59300,E01413
64860,E01414
59360,E01415
59470,E01417
59660,E01420
59500,E01421
59400,E01422
59390,E01425
59450,E01426
59510,E01427
79390,E01428
59330,E01430
59970,E01431
64840,E01434
59900,E01435
59840,E01437
59880,E01438
59830,E01439
59730,E01441
59710,E01442
34330,E01443
59090,E01444
59410,E01445
59870,E01446
59790,E01448
34210,E01451
34220,E01452
64690,E01454
64670,E01456
78410,E01459
34310,E01461
34350,E01462
34370,E01464
62640,E01465
34420,E01466
60130,E01469
60180,E01471
60160,E01474
60220,E01475
60230,E01477
60050,E01478
61010,E01480
61030,E01481
61040,E01482
61130,E01486
