ticker,name,sector,market_cap_class
2670.T,エービーシー・マート,小売業,TOPIX Mid400
3048.T,ビックカメラ,小売業,TOPIX Mid400
3064.T,ＭｏｎｏｔａＲＯ,小売業,TOPIX Mid400
3086.T,Ｊ．フロント　リテイリング,小売業,TOPIX Mid400
3088.T,マツキヨココカラ＆カンパニー,小売業,TOPIX Mid400
3092.T,ＺＯＺＯ,小売業,TOPIX Mid400
2327.T,日鉄ソリューションズ,情報・通信業,TOPIX Mid400
2432.T,ディー・エヌ・エー,情報・通信業,TOPIX Mid400
3626.T,ＴＩＳ,情報・通信業,TOPIX Mid400
3635.T,コーエーテクモホールディングス,情報・通信業,TOPIX Mid400
3659.T,ネクソン,情報・通信業,TOPIX Mid400
3697.T,ＳＨＩＦＴ,情報・通信業,TOPIX Mid400
5631.T,日本製鋼所,機械,TOPIX Mid400
6005.T,三浦工業,機械,TOPIX Mid400
6113.T,アマダ,機械,TOPIX Mid400
6134.T,ＦＵＪＩ,機械,TOPIX Mid400
6136.T,オーエスジー,機械,TOPIX Mid400
6141.T,ＤＭＧ森精機,機械,TOPIX Mid400
2002.T,日清製粉グループ本社,食料品,TOPIX Mid400
2201.T,森永製菓,食料品,TOPIX Mid400
2206.T,江崎グリコ,食料品,TOPIX Mid400
2212.T,山崎製パン,食料品,TOPIX Mid400
2222.T,寿スピリッツ,食料品,TOPIX Mid400
9001.T,東武鉄道,陸運業,TOPIX Mid400
9003.T,相鉄ホールディングス,陸運業,TOPIX Mid400
9005.T,東急,陸運業,TOPIX Mid400
9006.T,京浜急行電鉄,陸運業,TOPIX Mid400
9007.T,小田急電鉄,陸運業,TOPIX Mid400
1414.T,ショーボンドホールディングス,建設業,TOPIX Mid400
1417.T,ミライト・ワン,建設業,TOPIX Mid400
1719.T,安藤・間,建設業,TOPIX Mid400
1721.T,コムシスホールディングス,建設業,TOPIX Mid400
5830.T,いよぎんホールディングス,銀行業,TOPIX Mid400
5831.T,しずおかフィナンシャルグループ,銀行業,TOPIX Mid400
5832.T,ちゅうぎんフィナンシャルグループ,銀行業,TOPIX Mid400
5838.T,楽天銀行,銀行業,TOPIX Mid400
2127.T,日本Ｍ＆Ａセンターホールディングス,サービス業,TOPIX Mid400
2181.T,パーソルホールディングス,サービス業,TOPIX Mid400
2331.T,ＡＬＳＯＫ,サービス業,TOPIX Mid400
2371.T,カカクコム,サービス業,TOPIX Mid400
2768.T,双日,卸売業,TOPIX Mid400
2784.T,アルフレッサ　ホールディングス,卸売業,TOPIX Mid400
3038.T,神戸物産,卸売業,TOPIX Mid400
3107.T,ダイワボウホールディングス,卸売業,TOPIX Mid400
9501.T,東京電力ホールディングス,電気・ガス業,TOPIX Mid400
9502.T,中部電力,電気・ガス業,TOPIX Mid400
9503.T,関西電力,電気・ガス業,TOPIX Mid400
3116.T,トヨタ紡織,輸送用機器,TOPIX Mid400
7012.T,川崎重工業,輸送用機器,TOPIX Mid400
4151.T,協和キリン,医薬品,TOPIX Mid400
4506.T,住友ファーマ,医薬品,TOPIX Mid400
5201.T,ＡＧＣ,ガラス・土石製品,TOPIX Mid400
5214.T,日本電気硝子,ガラス・土石製品,TOPIX Mid400
1878.T,大東建託,不動産業,TOPIX Mid400
3003.T,ヒューリック,不動産業,TOPIX Mid400
7846.T,パイロットコーポレーション,その他製品,TOPIX Mid400
3436.T,ＳＵＭＣＯ,金属製品,TOPIX Mid400
5016.T,ＪＸ金属,非鉄金属,TOPIX Mid400
7164.T,全国保証,その他金融業,TOPIX Mid400
5406.T,神戸製鋼所,鉄鋼,TOPIX Mid400
7701.T,島津製作所,精密機器,TOPIX Mid400
3401.T,帝人,繊維製品,TOPIX Mid400
5101.T,横浜ゴム,ゴム製品,TOPIX Mid400
8473.T,ＳＢＩホールディングス,証券、商品先物取引業,TOPIX Mid400
9301.T,三菱倉庫,倉庫・運輸関連業,TOPIX Mid400
1332.T,ニッスイ,水産・農林業,TOPIX Mid400
3861.T,王子ホールディングス,パルプ・紙,TOPIX Mid400
5019.T,出光興産,石油・石炭製品,TOPIX Mid400
